feature,importance_classification,importance_regression,importance_avg
APOE_e4_present,0.0,0.7205892258559491,0.36029461292797454
APOE_e4_carrier,0.003506236256961713,0.16871353130911937,0.08610988378304055
DAYS_SINCE_BASELINE_years,0.053644965894425266,0.0,0.026822482947212633
AGE_standardized,0.0028797785416198166,0.03529901857002016,0.019089398555819988
APOE_e4_homozygous,0.0,0.03618788780431594,0.01809394390215797
AGE_risk_category,0.0012240197150139493,0.028787357692077617,0.015005688703545784
activity_variability,0.028213278906457202,0.0,0.014106639453228601
RID,0.028050663589192774,0.0,0.014025331794596387
TAU,0.02532907888839971,0.0,0.012664539444199855
activity_minutes_max,0.024187213560098196,0.0,0.012093606780049098
activity_minutes_min,0.02382914224711946,0.0,0.01191457112355973
PTAU_TAU_RATIO,0.023709261690423835,0.0,0.011854630845211917
CDRSB,0.02222670648083528,0.0,0.01111335324041764
ABETA40,0.021663813441113476,0.0,0.010831906720556738
steps_std,0.021222595023619405,0.0,0.010611297511809703
CDRSB_CHANGE_ANNUAL_percentile,0.02094439102496795,0.0,0.010472195512483976
subject_id_clinical,0.020451001985764633,0.0,0.010225500992882317
demographic_risk_score,0.02035170840186534,0.0,0.01017585420093267
age_standardized,0.019820501310267427,8.57906647658715e-06,0.009914540188372007
PTID_apoe,0.01965772785965355,0.0,0.009828863929826775
activity_to_sedentary_ratio_std,0.01851677600835704,0.0,0.00925838800417852
atn_composite_score,0.018360329917054476,0.0,0.009180164958527238
APVOLUME_zscore,0.01664062760767506,0.0,0.00832031380383753
PTAU,0.016558701243761947,0.0,0.008279350621880973
night_activity_minutes_max,0.016090649905355636,0.0,0.008045324952677818
steps_max,0.015661382252673467,0.0,0.007830691126336733
subject_id,0.014697550642969511,0.0,0.007348775321484756
sleep_minutes_mean,0.012231405951028979,0.0018630665315719545,0.007047236241300467
sleep_disruptions_mean,0.013947754758708658,0.0,0.006973877379354329
subject_id_genetics,0.013722126764209041,0.0,0.0068610633821045205
activity_mean_level,0.011078813369278216,0.0022469266098832613,0.006662869989580739
activity_to_sedentary_ratio_mean,0.013196776374956467,1.1571446808243839e-05,0.006604173910882355
update_stamp_month,0.01214681528389245,0.0,0.006073407641946225
CDRSB_CHANGE_ANNUAL,0.012111597288109675,0.0,0.0060557986440548375
steps_variation,0.011780078058188617,0.0,0.005890039029094308
night_activity_minutes_min,0.011626926803636478,0.0,0.005813463401818239
SITEID,0.011497006127521105,0.0,0.005748503063760553
RID_genetics,0.011377399735207832,0.0,0.005688699867603916
ABETA42_ABETA40_RATIO,0.011350802537772932,0.0,0.005675401268886466
CDRSB_LOG,0.011142271033954224,0.0,0.005571135516977112
subject_id_activity,0.010901149426368245,1.259672626211727e-05,0.005456873076315181
CDGLOBAL,0.01091039154966921,0.0,0.005455195774834605
ID,0.010905501945440908,0.0,0.005452750972720454
CDRSB_CHANGE,0.010617377166905403,0.0,0.005308688583452702
night_activity_minutes_variation,0.009780796085665785,0.0,0.004890398042832892
CDMEMORY,0.009613063943998894,0.0,0.004806531971999447
DAYS_SINCE_BASELINE,0.009502627046806187,0.0,0.0047513135234030935
ABETA42,0.009377373805455886,0.0,0.004688686902727943
PTGENDER,0.009102419004464462,0.0,0.004551209502232231
tau_pathology_score,0.00873002675309709,0.0,0.004365013376548545
sleep_efficiency_variation,0.008349660753281446,0.0,0.004174830376640723
activity_minutes_mean,0.008215042325801902,0.0,0.004107521162900951
sleep_disruptions_min,0.008149494724063197,0.0,0.004074747362031598
CDORIENT,0.007995704667055407,0.0,0.003997852333527703
night_activity_minutes_std,0.007755818991955042,0.0,0.003877909495977521
update_stamp_apoe,0.00754202849795528,0.0,0.00377101424897764
step_efficiency_std,0.007358953300420254,0.0,0.003679476650210127
CDJUDGE,0.007274930072323685,0.0,0.0036374650361618425
CDRSB_CHANGE_percentile,0.007261286952617409,0.0,0.0036306434763087045
night_to_sleep_ratio_mean,0.0069504079456238045,0.0,0.0034752039728119023
sedentary_hours_std,0.006938914301438571,0.0,0.0034694571507192856
CDRSB_CHANGE_impaired,0.0067422021049674844,0.0,0.0033711010524837422
CDRSB_percentile,0.006339615554403354,0.0,0.003169807777201677
age_gender_interaction,0.005977472773338479,0.0,0.0029887363866692397
CDCOMMUN,0.005975986745739706,0.0,0.002987993372869853
DXAD,0.005883900279250627,0.0,0.0029419501396253135
DAYS_SINCE_BASELINE_category,0.005700574276876468,0.0,0.002850287138438234
gender_female,0.005643059532821528,0.0,0.002821529766410764
night_activity_minutes_mean,0.005636911330333011,0.0,0.0028184556651665053
CDHOME,0.005419005296218349,0.0,0.0027095026481091743
steps_min,0.0053430896450909265,2.56952630144395e-05,0.002684392454052683
activity_minutes_std,0.005211509855834576,0.0,0.002605754927917288
update_stamp_apoe_years_ago,0.005054411777500217,0.0,0.0025272058887501085
DXOTHDEM_BINARY,0.00481784765627875,0.0,0.002408923828139375
demographic_risk_category,0.004721562597848316,0.0,0.002360781298924158
night_to_sleep_ratio_std,0.004556222286415246,0.0,0.002278111143207623
step_efficiency_mean,0.004324233260970134,0.0,0.002162116630485067
sleep_minutes_min,0.00424077164688126,6.633608262276923e-05,0.0021535538647520147
CDRSB_impaired,0.004299730286847191,0.0,0.0021498651434235954
sleep_minutes_max,0.0040305205477686335,0.0001514720702430126,0.002090996309005823
CDCARE,0.003842469486283009,0.0,0.0019212347431415045
PTEDUCAT_category,0.0038152740345278532,0.0,0.0019076370172639266
genetic_profile_complete,0.003798151738231118,0.0,0.001899075869115559
sleep_disruptions_max,0.0037951100471696033,0.0,0.0018975550235848016
sleep_minutes_std,0.003485475380881711,0.0,0.0017427376904408556
update_stamp_apoe_normalized,0.003439463714687887,0.0,0.0017197318573439434
multimodal_completeness,0.000736382634641505,0.0025801310862636133,0.0016582568604525591
total_sleep_anomalies_max,0.0031439412377068194,0.0,0.0015719706188534097
RACE_GROUP.1_black,0.0027679930670359027,0.0,0.0013839965335179514
activity_minutes_variation,0.00273821726927659,0.0,0.001369108634638295
lifestyle_biomarker_interaction,0.0021813315492305364,0.0005246180458441818,0.0013529747975373591
steps_mean,0.002434294378741284,0.00016276601925309815,0.0012985301989971911
RACE_GROUP_asian,0.002223263412856248,0.0,0.001111631706428124
gender_normalized,0.0022030745491676803,0.0,0.0011015372745838401
