feature,category,avg_importance,perm_importance_avg,clinical_interpretation
DAYS_SINCE_BASELINE_years,Otros,0.053644965894425266,N/A,Factor predictivo identificado por el modelo
activity_variability,Otros,0.028213278906457202,N/A,Factor predictivo identificado por el modelo
RID,Otros,0.028050663589192774,N/A,Factor predictivo identificado por el modelo
TAU,Biomarcador,0.02532907888839971,N/A,Factor predictivo identificado por el modelo
activity_minutes_max,Otros,0.024187213560098196,N/A,Factor predictivo identificado por el modelo
activity_minutes_min,Otros,0.02382914224711946,N/A,Feature predictiva del modelo
PTAU_TAU_RATIO,Biomarcador,0.023709261690423835,N/A,Feature predictiva del modelo
CDRSB,Cognitivo,0.02222670648083528,N/A,Feature predictiva del modelo
ABETA40,Biomarcador,0.021663813441113476,N/A,Feature predictiva del modelo
steps_std,Otros,0.021222595023619405,N/A,Feature predictiva del modelo
CDRSB_CHANGE_ANNUAL_percentile,Cognitivo,0.02094439102496795,N/A,Feature predictiva del modelo
subject_id_clinical,Otros,0.020451001985764633,N/A,Feature predictiva del modelo
demographic_risk_score,Otros,0.02035170840186534,N/A,Feature predictiva del modelo
age_standardized,Demográfico,0.019820501310267427,N/A,Feature predictiva del modelo
PTID_apoe,Genético,0.01965772785965355,N/A,Feature predictiva del modelo
activity_to_sedentary_ratio_std,Otros,0.01851677600835704,N/A,Feature predictiva del modelo
atn_composite_score,Otros,0.018360329917054476,N/A,Feature predictiva del modelo
APVOLUME_zscore,Neuroimagen,0.01664062760767506,N/A,Feature predictiva del modelo
PTAU,Biomarcador,0.016558701243761947,N/A,Feature predictiva del modelo
night_activity_minutes_max,Otros,0.016090649905355636,N/A,Feature predictiva del modelo
steps_max,Otros,0.015661382252673467,N/A,Feature predictiva del modelo
subject_id,Otros,0.014697550642969511,N/A,Feature predictiva del modelo
sleep_disruptions_mean,Otros,0.013947754758708658,N/A,Feature predictiva del modelo
subject_id_genetics,Genético,0.013722126764209041,N/A,Feature predictiva del modelo
activity_to_sedentary_ratio_mean,Otros,0.013196776374956467,N/A,Feature predictiva del modelo
sleep_minutes_mean,Otros,0.012231405951028979,N/A,Feature predictiva del modelo
update_stamp_month,Otros,0.01214681528389245,N/A,Feature predictiva del modelo
CDRSB_CHANGE_ANNUAL,Cognitivo,0.012111597288109675,N/A,Feature predictiva del modelo
steps_variation,Otros,0.011780078058188617,N/A,Feature predictiva del modelo
night_activity_minutes_min,Otros,0.011626926803636478,N/A,Feature predictiva del modelo
SITEID,Otros,0.011497006127521105,N/A,Feature predictiva del modelo
RID_genetics,Genético,0.011377399735207832,N/A,Feature predictiva del modelo
ABETA42_ABETA40_RATIO,Biomarcador,0.011350802537772932,N/A,Feature predictiva del modelo
CDRSB_LOG,Cognitivo,0.011142271033954224,N/A,Feature predictiva del modelo
activity_mean_level,Otros,0.011078813369278216,N/A,Feature predictiva del modelo
CDGLOBAL,Otros,0.01091039154966921,N/A,Feature predictiva del modelo
ID,Otros,0.010905501945440908,N/A,Feature predictiva del modelo
subject_id_activity,Otros,0.010901149426368245,N/A,Feature predictiva del modelo
CDRSB_CHANGE,Cognitivo,0.010617377166905403,N/A,Feature predictiva del modelo
night_activity_minutes_variation,Otros,0.009780796085665785,N/A,Feature predictiva del modelo
CDMEMORY,Otros,0.009613063943998894,N/A,Feature predictiva del modelo
DAYS_SINCE_BASELINE,Otros,0.009502627046806187,N/A,Feature predictiva del modelo
ABETA42,Biomarcador,0.009377373805455886,N/A,Feature predictiva del modelo
PTGENDER,Genético,0.009102419004464462,N/A,Feature predictiva del modelo
tau_pathology_score,Biomarcador,0.00873002675309709,N/A,Feature predictiva del modelo
sleep_efficiency_variation,Otros,0.008349660753281446,N/A,Feature predictiva del modelo
activity_minutes_mean,Otros,0.008215042325801902,N/A,Feature predictiva del modelo
sleep_disruptions_min,Otros,0.008149494724063197,N/A,Feature predictiva del modelo
CDORIENT,Otros,0.007995704667055407,N/A,Feature predictiva del modelo
night_activity_minutes_std,Otros,0.007755818991955042,N/A,Feature predictiva del modelo
update_stamp_apoe,Genético,0.00754202849795528,N/A,Feature predictiva del modelo
step_efficiency_std,Otros,0.007358953300420254,N/A,Feature predictiva del modelo
CDJUDGE,Otros,0.007274930072323685,N/A,Feature predictiva del modelo
CDRSB_CHANGE_percentile,Cognitivo,0.007261286952617409,N/A,Feature predictiva del modelo
night_to_sleep_ratio_mean,Otros,0.0069504079456238045,N/A,Feature predictiva del modelo
sedentary_hours_std,Otros,0.006938914301438571,N/A,Feature predictiva del modelo
CDRSB_CHANGE_impaired,Cognitivo,0.0067422021049674844,N/A,Feature predictiva del modelo
CDRSB_percentile,Cognitivo,0.006339615554403354,N/A,Feature predictiva del modelo
age_gender_interaction,Demográfico,0.005977472773338479,N/A,Feature predictiva del modelo
CDCOMMUN,Otros,0.005975986745739706,N/A,Feature predictiva del modelo
DXAD,Otros,0.005883900279250627,N/A,Feature predictiva del modelo
DAYS_SINCE_BASELINE_category,Otros,0.005700574276876468,N/A,Feature predictiva del modelo
gender_female,Genético,0.005643059532821528,N/A,Feature predictiva del modelo
night_activity_minutes_mean,Otros,0.005636911330333011,N/A,Feature predictiva del modelo
CDHOME,Otros,0.005419005296218349,N/A,Feature predictiva del modelo
steps_min,Otros,0.0053430896450909265,N/A,Feature predictiva del modelo
activity_minutes_std,Otros,0.005211509855834576,N/A,Feature predictiva del modelo
update_stamp_apoe_years_ago,Genético,0.005054411777500217,N/A,Feature predictiva del modelo
DXOTHDEM_BINARY,Otros,0.00481784765627875,N/A,Feature predictiva del modelo
demographic_risk_category,Otros,0.004721562597848316,N/A,Feature predictiva del modelo
