feature,importance_mean,importance_std
night_to_sleep_ratio_mean,0.0,0.0
DXAD,0.0,0.0
gender_normalized_binary,0.0,0.0
sleep_disruptions_max,0.0,0.0
CDRSB_impaired,0.0,0.0
activity_minutes_mean,0.0,0.0
CDORIENT,0.0,0.0
CDCOMMUN,0.0,0.0
step_efficiency_mean,0.0,0.0
CDRSB_CHANGE_ANNUAL_impaired,0.0,0.0
activity_minutes_max,0.0,0.0
DXNORM,0.0,0.0
CDRSB_CHANGE_percentile,0.0,0.0
CDCARE,0.0,0.0
CDRSB_LOG,0.0,0.0
night_activity_minutes_min,0.0,0.0
total_sleep_anomalies_max,0.0,0.0
tau_pathology_score,0.0,0.0
RID_genetics,0.0,0.0
RACE_GROUP.1_white,0.0,0.0
night_activity_minutes_max,0.0,0.0
CDRSB_LOG_impaired,0.0,0.0
night_activity_minutes_std,0.0,0.0
PTID_apoe,0.0,0.0
CDRSB_CHANGE_impaired,0.0,0.0
ABETA42_PTAU_RATIO,0.0,0.0
steps_std,0.0,0.0
gender_binary,0.0,0.0
CDRSB_CATEGORY_impaired,0.0,0.0
update_stamp_month,0.0,0.0
APVOLUME_extreme_outlier,0.0,0.0
sleep_efficiency_variation,0.0,0.0
ROCHE_TAU_NORMAL,0.0,0.0
mapped_rid,0.0,0.0
multimodal_completeness,0.0,0.0
AGE_early_onset_risk,0.0,0.0
lifestyle_biomarker_interaction,0.0,0.0
activity_mean_level,0.0,0.0
PTEDUCAT_category,0.0,0.0
sleep_disruptions_mean,0.0,0.0
sleep_minutes_max,0.0,0.0
age_gender_interaction,0.0,0.0
sleep_efficiency_std,0.0,0.0
CDRSB_CATEGORY,0.0,0.0
subject_id,0.0,0.0
GENDER_MALE,0.0,0.0
DAYS_SINCE_BASELINE_years,0.0,0.0
CDRSB_LOG_severe_decline,0.0,0.0
gender,0.0,0.0
CDHOME,0.0,0.0
ROCHE_PTAU_NORMAL,0.0,0.0
CDMEMORY,0.0,0.0
TAU,0.0,0.0
update_stamp_apoe,0.0,0.0
activity_minutes_min,0.0,0.0
gender_female,0.0,0.0
RACE_GROUP.1_asian,0.0,0.0
activity_to_sedentary_ratio_mean,0.0,0.0
gender_normalized,0.0,0.0
subject_id_genetics,0.0,0.0
APOE_e4_carrier,0.0,0.0
APVOLUME_zscore,0.0,0.0
healthy_lifestyle_score,0.0,0.0
ABETA42_ABETA40_RATIO,0.0,0.0
steps_min,0.0,0.0
EDUCATION_LEVEL,0.0,0.0
steps_mean,0.0,0.0
DAYS_SINCE_BASELINE_category,0.0,0.0
CDRSB_CHANGE_ANNUAL,0.0,0.0
RACE_GROUP.1_black,0.0,0.0
CDRSB_CATEGORY_percentile,0.0,0.0
RACE_GROUP.1_diversity_flag,0.0,0.0
RID,0.0,0.0
CDRSB_CHANGE_ANNUAL_percentile,0.0,0.0
ptau_tau_ratio,0.0,0.0
CDRSB,0.0,0.0
APOE_e4_homozygous,0.0,0.0
PTAU,0.0,0.0
RACE_GROUP_diversity_flag,0.0,0.0
CDRSB_CHANGE_severe_decline,0.0,0.0
AGE_standardized,0.0,0.0
ABETA42,0.0,0.0
sleep_disruptions_std,0.0,0.0
ROCHE_ABETA40_NORMAL,0.0,0.0
CDJUDGE,0.0,0.0
IS_BILINGUAL,0.0,0.0
activity_minutes_std,0.0,0.0
sleep_minutes_mean,0.0,0.0
ID,0.0,0.0
CDRSB_percentile,0.0,0.0
PTGENDER_binary,0.0,0.0
age_risk_category,0.0,0.0
PTGENDER,0.0,0.0
steps_max,0.0,0.0
steps_mean_category,0.0,0.0
CDGLOBAL,0.0,0.0
subject_id_clinical_positive,0.0,0.0
USERDATE_day,0.0,0.0
update_stamp_apoe_normalized,0.0,0.0
AGE_risk_category,0.0,0.0
sleep_minutes_min,0.0,0.0
ABETA40,0.0,0.0
gender_normalized_female,0.0,0.0
DXOTHDEM_BINARY,0.0,0.0
night_activity_minutes_variation,0.0,0.0
steps_variation,0.0,0.0
sleep_minutes_std,0.0,0.0
atn_composite_score,0.0,0.0
sleep_disruptions_min,0.0,0.0
update_stamp_apoe_years_ago,0.0,0.0
activity_sleep_balance,0.0,0.0
RACE_GROUP_white,0.0,0.0
DAYS_SINCE_BASELINE,0.0,0.0
activity_to_sedentary_ratio_std,0.0,0.0
SITEID,0.0,0.0
demographic_risk_score,0.0,0.0
ROCHE_ABETA42_NORMAL,0.0,0.0
genetic_profile_complete,0.0,0.0
RACE_GROUP_asian,0.0,0.0
age_early_onset_risk,0.0,0.0
age_high_risk,0.0,0.0
PTAU_TAU_RATIO,0.0,0.0
age_standardized,0.0,0.0
activity_minutes_variation,0.0,0.0
subject_id_clinical,0.0,0.0
AGE_high_risk,0.0,0.0
night_activity_minutes_mean,0.0,0.0
steps_std_category,0.0,0.0
step_efficiency_std,0.0,0.0
demographic_risk_category,0.0,0.0
APOE_e4_present,0.0,0.0
sedentary_hours_std,0.0,0.0
subject_id_activity,0.0,0.0
night_to_sleep_ratio_std,0.0,0.0
RACE_GROUP_black,0.0,0.0
DXPARK_BINARY,0.0,0.0
activity_variability,0.0,0.0
steps_min_category,0.0,0.0
CDRSB_CHANGE_ANNUAL_severe_decline,0.0,0.0
CDRSB_CATEGORY_severe_decline,0.0,0.0
CDRSB_severe_decline,0.0,0.0
CDRSB_CHANGE,0.0,0.0
low_activity_risk,0.0,0.0
