feature,importance_mean,importance_std
APOE_e4_present,1.358846303081155,0.013571208372410966
APOE_e4_carrier,0.31802145263241577,0.002133357188662034
APOE_e4_homozygous,0.06706087902116817,0.0010351108751116159
AGE_standardized,0.041976252164763375,0.0003117170112459175
AGE_risk_category,0.02880920451478184,0.00041465539715181447
multimodal_completeness,0.003462852475939293,0.0005860998264134941
sleep_minutes_mean,0.0032523496998083878,7.461057168173321e-05
healthy_lifestyle_score,0.002261288582489018,5.0010002825490835e-05
activity_mean_level,0.002115351090472184,5.690862454476978e-05
low_activity_risk,0.00090133542635773,6.390570881359441e-05
lifestyle_biomarker_interaction,0.00047240427411974204,3.525353376110482e-05
steps_mean,0.0004244631493334428,2.758085154833378e-05
sleep_minutes_min,0.00015828180804964287,1.182955492116528e-05
sleep_minutes_max,0.00013118904850020207,1.501425766175196e-05
steps_min,3.53714014110107e-05,2.2087337107954247e-06
age_risk_category,2.2013495321981934e-05,1.7895210462232138e-06
age_standardized,2.1981342798094162e-05,1.7873764345130715e-06
subject_id_activity,1.4543066055261456e-05,1.234402434774077e-06
CDCARE,0.0,0.0
ABETA42_PTAU_RATIO,0.0,0.0
CDRSB_CHANGE_percentile,0.0,0.0
activity_minutes_max,0.0,0.0
step_efficiency_mean,0.0,0.0
RACE_GROUP.1_white,0.0,0.0
DXAD,0.0,0.0
CDRSB_LOG,0.0,0.0
CDCOMMUN,0.0,0.0
steps_std,0.0,0.0
DXNORM,0.0,0.0
CDRSB_CATEGORY_impaired,0.0,0.0
CDORIENT,0.0,0.0
activity_minutes_mean,0.0,0.0
CDRSB_impaired,0.0,0.0
sleep_disruptions_max,0.0,0.0
gender_normalized_binary,0.0,0.0
update_stamp_month,0.0,0.0
total_sleep_anomalies_max,0.0,0.0
CDRSB_CHANGE_ANNUAL_impaired,0.0,0.0
tau_pathology_score,0.0,0.0
gender_binary,0.0,0.0
mapped_rid,0.0,0.0
ROCHE_TAU_NORMAL,0.0,0.0
sleep_efficiency_variation,0.0,0.0
APVOLUME_extreme_outlier,0.0,0.0
night_activity_minutes_min,0.0,0.0
activity_to_sedentary_ratio_mean,0.0,0.0
RID_genetics,0.0,0.0
AGE_early_onset_risk,0.0,0.0
CDMEMORY,0.0,0.0
ROCHE_PTAU_NORMAL,0.0,0.0
CDHOME,0.0,0.0
gender,0.0,0.0
CDRSB_LOG_severe_decline,0.0,0.0
DAYS_SINCE_BASELINE_years,0.0,0.0
subject_id,0.0,0.0
CDRSB_CATEGORY,0.0,0.0
sleep_efficiency_std,0.0,0.0
age_gender_interaction,0.0,0.0
sleep_disruptions_mean,0.0,0.0
PTEDUCAT_category,0.0,0.0
TAU,0.0,0.0
GENDER_MALE,0.0,0.0
update_stamp_apoe,0.0,0.0
ABETA42_ABETA40_RATIO,0.0,0.0
RACE_GROUP.1_black,0.0,0.0
CDRSB_CHANGE_ANNUAL,0.0,0.0
DAYS_SINCE_BASELINE_category,0.0,0.0
EDUCATION_LEVEL,0.0,0.0
gender_female,0.0,0.0
APVOLUME_zscore,0.0,0.0
subject_id_genetics,0.0,0.0
gender_normalized,0.0,0.0
PTID_apoe,0.0,0.0
RACE_GROUP.1_asian,0.0,0.0
activity_minutes_min,0.0,0.0
CDRSB_CHANGE_impaired,0.0,0.0
night_to_sleep_ratio_mean,0.0,0.0
night_activity_minutes_std,0.0,0.0
ptau_tau_ratio,0.0,0.0
night_activity_minutes_mean,0.0,0.0
atn_composite_score,0.0,0.0
PTGENDER_binary,0.0,0.0
sleep_minutes_std,0.0,0.0
activity_minutes_std,0.0,0.0
IS_BILINGUAL,0.0,0.0
CDJUDGE,0.0,0.0
ROCHE_ABETA40_NORMAL,0.0,0.0
sleep_disruptions_std,0.0,0.0
CDRSB_CHANGE_ANNUAL_percentile,0.0,0.0
CDRSB_CHANGE_severe_decline,0.0,0.0
RACE_GROUP_diversity_flag,0.0,0.0
PTAU,0.0,0.0
CDRSB,0.0,0.0
ID,0.0,0.0
CDRSB_LOG_impaired,0.0,0.0
ABETA42,0.0,0.0
CDRSB_percentile,0.0,0.0
steps_variation,0.0,0.0
night_activity_minutes_variation,0.0,0.0
DXOTHDEM_BINARY,0.0,0.0
gender_normalized_female,0.0,0.0
ABETA40,0.0,0.0
update_stamp_apoe_normalized,0.0,0.0
USERDATE_day,0.0,0.0
subject_id_clinical_positive,0.0,0.0
CDGLOBAL,0.0,0.0
steps_mean_category,0.0,0.0
steps_max,0.0,0.0
PTGENDER,0.0,0.0
step_efficiency_std,0.0,0.0
demographic_risk_category,0.0,0.0
sedentary_hours_std,0.0,0.0
night_to_sleep_ratio_std,0.0,0.0
night_activity_minutes_max,0.0,0.0
CDRSB_CATEGORY_percentile,0.0,0.0
RID,0.0,0.0
sleep_disruptions_min,0.0,0.0
activity_minutes_variation,0.0,0.0
PTAU_TAU_RATIO,0.0,0.0
age_high_risk,0.0,0.0
age_early_onset_risk,0.0,0.0
RACE_GROUP_asian,0.0,0.0
ROCHE_ABETA42_NORMAL,0.0,0.0
update_stamp_apoe_years_ago,0.0,0.0
demographic_risk_score,0.0,0.0
SITEID,0.0,0.0
activity_to_sedentary_ratio_std,0.0,0.0
DAYS_SINCE_BASELINE,0.0,0.0
RACE_GROUP_white,0.0,0.0
activity_sleep_balance,0.0,0.0
subject_id_clinical,0.0,0.0
genetic_profile_complete,0.0,0.0
AGE_high_risk,0.0,0.0
DXPARK_BINARY,0.0,0.0
CDRSB_CHANGE,0.0,0.0
CDRSB_severe_decline,0.0,0.0
CDRSB_CATEGORY_severe_decline,0.0,0.0
CDRSB_CHANGE_ANNUAL_severe_decline,0.0,0.0
steps_min_category,0.0,0.0
activity_variability,0.0,0.0
RACE_GROUP_black,0.0,0.0
steps_std_category,0.0,0.0
RACE_GROUP.1_diversity_flag,0.0,0.0
